Country,Corruption,Happiness,Life_Expectancy,Unemployment,Energy,Inflation,Electricity,FreedomOfReligion,FreedomOfExpression,GDPperCapita
Afghanistan,135,131,114,103,0,78,98,0,0,132
Albania,76,100,35,127,86,63,1,3,48,78
Algeria,82,79,51,111,70,103,73,124,89,81
Angola,129,128,122,101,101,130,116,19,113,82
Argentina,67,28,47,98,53,0,62,79,48,43
Armenia,82,115,67,132,76,45,57,110,98,88
Australia,13,10,9,73,12,58,1,8,22,10
Austria,14,12,21,71,24,52,1,62,27,13
Azerbaijan,118,82,83,65,64,121,1,120,133,77
Bahrain,76,40,45,6,3,67,1,90,132,31
Bangladesh,115,102,81,52,120,105,102,108,107,110
Belarus,55,68,75,4,30,122,1,127,122,68
Belgium,17,16,24,85,17,57,1,60,2,18
Belize,0,46,90,108,0,0,89,22,44,72
Benin,67,122,123,20,110,9,114,2,36,119
Bhutan,25,90,92,22,0,93,79,93,96,94
Bolivia,104,57,97,29,87,85,90,41,53,91
Bosnia and Herzegovina,71,86,46,137,55,5,1,37,45,75
Botswana,29,132,106,131,71,79,105,7,76,60
Brazil,82,27,58,120,65,111,69,88,59,53
Bulgaria,60,93,66,63,42,20,1,97,38,57
Burkina Faso,61,108,126,83,0,18,129,58,78,129
Burundi,133,140,133,9,0,117,137,99,134,140
Cambodia,126,107,98,2,111,72,108,28,87,112
Cameroon,118,92,131,47,116,56,104,64,105,108
Canada,9,7,14,77,5,55,1,11,16,16
Central African Republic,115,139,140,76,0,132,133,27,86,137
Chad,129,117,138,78,0,87,135,67,84,125
Chile,26,25,32,90,48,82,64,39,32,42
China,69,81,49,60,46,61,53,133,128,56
Colombia,76,36,72,106,92,104,80,32,68,66
Congo Rep.,129,118,112,116,100,69,138,13,97,105
Costa Rica,40,13,30,96,75,33,71,31,11,47
Croatia,48,77,38,107,52,8,1,71,51,46
Cyprus,33,56,29,113,58,1,1,92,20,30
Czech Republic,33,21,34,16,22,46,1,69,15,35
Denmark,1,3,28,70,29,28,1,68,6,9
Dominican Republic,101,78,74,74,88,65,75,20,39,61
Ecuador,88,45,48,43,82,68,74,86,72,64
El Salvador,82,37,77,56,94,16,84,6,54,86
Estonia,18,58,40,75,20,42,1,61,9,36
Ethiopia,88,113,109,68,103,118,119,115,125,126
Finland,3,1,19,100,10,17,1,38,7,15
France,21,23,8,104,25,24,1,91,41,24
Gabon,98,95,107,133,38,38,91,49,118,58
Georgia,36,114,79,119,74,92,54,84,46,84
Germany,11,15,27,36,23,35,1,70,23,17
Ghana,61,97,118,23,115,127,101,78,47,103
Greece,52,74,22,134,45,3,1,63,52,37
Guatemala,111,29,78,25,85,88,93,21,83,79
Guinea,108,126,129,55,0,115,120,35,119,123
